200,6.171805947714173e+60,-232750.59141282336
210,6.222681954494364e+57,-232341.928031264
220,1.1719782406901616e+55,-231928.94122525392
230,3.800722548810362e+52,-231511.74116253713
240,1.9830873738741142e+50,-231090.44257910032
250,1.5724884063990335e+48,-230665.16198946448
260,1.8057303718714463e+46,-230236.01576203585
270,2.8819839632854077e+44,-229803.11880174608
280,6.171715007369733e+42,-229366.58366196894
290,1.7203140367027148e+41,-228926.5199614158
300,6.079486862973934e+39,-228483.03401837195
310,2.662119041707843e+38,-228036.22863996032
320,1.4157198323863664e+37,-227586.20302180242
330,8.983794916909404e+35,-227133.0527259194
340,6.697590807790203e+34,-226676.86971358824
350,5.785872943369671e+33,-226217.74241623335
360,5.721242853324892e+32,-225755.75583202997
370,6.4052706980300925e+31,-225290.99163923637
380,8.04014187332999e+30,-224823.52831971348
390,1.1216508360489758e+30,-224353.44128788146
400,1.7253960080718166e+29,-223880.80302168473
410,2.9057667262066087e+28,-223405.6831931102
420,5.323188289724061e+27,-222928.1487965279
430,1.0545826483725597e+27,-222448.26427365644
440,2.2473797433603287e+26,-221966.09163435278
450,5.126887759318678e+25,-221481.69057271798
460,1.2464933446672894e+25,-220995.11857822776
470,3.216811594758494e+24,-220506.4310417517
480,8.779057336114046e+23,-220015.6813564433
490,2.5250809094591038e+23,-219522.92101356195
500,7.630355033193753e+22,-219028.19969334776
